time,meas,ref,error,pid_p,pid_i,pid_d,pid_pd,u
1.2,1.50999999046326,0.5,-1.00999999046326,-9.09000015258789,3.3315007686615,-140,-149.090000152588,-145.758499383926
1.3,1.50999999046326,0.5,-1.00999999046326,-9.09000015258789,3.25575065612793,0,-9.09000015258789,-5.83424949645996
1.4,1.50999999046326,0.5,-1.00999999046326,-9.09000015258789,3.18000078201294,0,-9.09000015258789,-5.90999937057495
1.5,1.50999999046326,0.5,-1.00999999046326,-9.09000015258789,3.10425066947937,0,-9.09000015258789,-5.98574948310852
1.6,1.5,0.5,-1,-9,3.02925062179565,1.39999866485596,-7.60000133514404,-4.57075071334839
1.7,1.5,0.5,-1,-9,2.95425057411194,0,-9,-6.04574942588806
1.8,1.49000000953674,0.5,-0.990000009536743,-8.90999984741211,2.88000059127808,1.39999866485596,-7.51000118255615,-4.63000059127808
1.9,1.48000001907349,0.5,-0.980000019073486,-8.81999969482422,2.80650067329407,1.39999866485596,-7.42000102996826,-4.61350035667419
2,1.46000003814697,0.5,-0.960000038146973,-8.64000034332275,2.73450064659119,2.79999732971191,-5.84000301361084,-3.10550236701965
2.1,1.44000005722046,0.5,-0.940000057220459,-8.46000099182129,2.66400074958801,2.79999732971191,-5.66000366210938,-2.99600291252136
2.2,1.41999995708466,0.5,-0.919999957084656,-8.27999973297119,2.59500074386597,2.80001401901245,-5.47998571395874,-2.88498497009277
2.3,1.38999998569489,0.5,-0.889999985694885,-8.01000022888184,2.5282506942749,4.19999599456787,-3.81000423431396,-1.28175354003906
2.4,1.36000001430511,0.5,-0.860000014305115,-7.74000024795532,2.46375060081482,4.19999599456787,-3.54000425338745,-1.07625365257263
2.5,1.33000004291534,0.5,-0.830000042915344,-7.47000026702881,2.4015007019043,4.19999599456787,-3.27000427246094,-0.868503570556641
2.6,1.29999995231628,0.5,-0.799999952316284,-7.19999980926514,2.34150075912476,4.20001268386841,-2.99998712539673,-0.658486366271973
2.7,1.26999998092651,0.5,-0.769999980926514,-6.92999982833862,2.2837507724762,4.19999599456787,-2.73000383377075,-0.446253061294556
2.8,1.23000001907349,0.5,-0.730000019073486,-6.57000017166138,2.22900056838989,5.59999465942383,-0.970005512237549,1.25899505615234
2.9,1.20000004768372,0.5,-0.700000047683716,-6.30000019073486,2.17650055885315,4.19999599456787,-2.10000419616699,0.076496362686157
3,1.1599999666214,0.5,-0.659999966621399,-5.9399995803833,2.12700057029724,5.60001134872437,-0.339988231658936,1.78701233863831
3.1,1.12999999523163,0.5,-0.629999995231628,-5.67000007629395,2.07975077629089,4.19999599456787,-1.47000408172607,0.609746694564819
3.2,1.0900000333786,0.5,-0.590000033378601,-5.3100004196167,2.0355007648468,5.59999465942383,0.289994239807129,2.32549500465393
3.3,1.04999995231628,0.5,-0.549999952316284,-4.94999980926514,1.99425065517426,5.60001134872437,0.650011539459229,2.64426219463348
3.4,1.00999999046326,0.5,-0.509999990463257,-4.59000015258789,1.95600068569183,5.59999465942383,1.00999450683594,2.96599519252777
3.5,0.97000002861023,0.5,-0.47000002861023,-4.23000049591064,1.92075061798096,5.59999465942383,1.36999416351318,3.29074478149414
3.6,0.9200000166893,0.5,-0.420000016689301,-3.78000020980835,1.88925063610077,7.00000190734863,3.22000169754028,5.10925233364105
3.7,0.879999995231628,0.5,-0.379999995231628,-3.42000007629395,1.86075067520142,5.60000324249268,2.18000316619873,4.04075384140015
3.8,0.839999973773956,0.5,-0.339999973773956,-3.05999970436096,1.83525061607361,5.60000324249268,2.54000353813171,4.37525415420532
3.9,0.800000011920929,0.5,-0.300000011920929,-2.70000004768372,1.81275069713593,5.59999465942383,2.89999461174011,4.71274530887604
4,0.769999980926514,0.5,-0.269999980926514,-2.42999982833862,1.79250061511993,4.20000457763672,1.7700047492981,3.56250536441803
4.1,0.730000019073486,0.5,-0.230000019073486,-2.07000017166138,1.77525067329407,5.59999465942383,3.52999448776245,5.30524516105652
4.2,0.699999988079071,0.5,-0.199999988079071,-1.79999995231628,1.76025068759918,4.20000457763672,2.40000462532043,4.16025531291962
4.3,0.670000016689301,0.5,-0.170000016689301,-1.53000020980835,1.74750065803528,4.19999599456787,2.66999578475952,4.4174964427948
4.4,0.639999985694885,0.5,-0.139999985694885,-1.25999987125397,1.73700070381165,4.20000457763672,2.94000470638275,4.6770054101944
