time,meas,ref,error,pid_p,pid_i,pid_d,pid_pd,u,snn_p,snn_i,snn_d,snn_pd,snn_pid
5.2,1.37999999523163,0.5,-0.879999995231628,0,0,0,0,0,0,2.39282274246216,0,-3.74152374267578,0
5.3,1.37999999523163,0.5,-0.879999995231628,0,0,0,0,0,0,3.75293946266174,0,-5.8865442276001,0
5.4,1.37999999523163,0.5,-0.879999995231628,0,0,0,0,0,0,3.54217672348022,0,-6.60931777954102,0
5.5,1.33000004291534,0.5,-0.830000042915344,0,0,0,0,0,0,3.42111015319824,0,-7.45997858047485,0
5.6,1.32000005245209,0.5,-0.820000052452087,0,0,0,0,0,0,3.52722787857056,0,-7.94598770141602,0
5.7,1.29999995231628,0.5,-0.799999952316284,0,0,0,0,0,0,3.336430311203,0,-7.33614730834961,0
5.8,1.26999998092651,0.5,-0.769999980926514,0,0,0,0,0,0,3.25224375724792,0,-6.11552286148071,0
5.9,1.25,0.5,-0.75,0,0,0,0,0,0,2.47866106033325,0,-5.4630126953125,0
6,1.23000001907349,0.5,-0.730000019073486,0,0,0,0,0,0,2.91260099411011,0,-5.09693765640259,0
6.1,1.20000004768372,0.5,-0.700000047683716,0,0,0,0,0,0,2.81088495254517,0,-4.44907665252686,0
6.2,1.16999995708466,0.5,-0.669999957084656,0,0,0,0,0,0,2.35872745513916,0,-3.19327688217163,0
6.3,1.12999999523163,0.5,-0.629999995231628,0,0,0,0,0,0,2.23585939407349,0,-3.40763521194458,0
6.4,1.10000002384186,0.5,-0.600000023841858,0,0,0,0,0,0,2.41180825233459,0,-2.5780873298645,0
6.5,1.07000005245209,0.5,-0.570000052452087,0,0,0,0,0,0,2.25028324127197,0,-3.27112579345703,0
6.6,1.02999997138977,0.5,-0.529999971389771,0,0,0,0,0,0,2.20639109611511,0,-2.0990948677063,0
6.7,0.990000009536743,0.5,-0.490000009536743,0,0,0,0,0,0,2.40380072593689,0,-1.21040832996368,0
6.8,0.959999978542328,0.5,-0.459999978542328,0,0,0,0,0,0,2.24810743331909,0,-0.721763610839844,0
