time,meas,ref,error,pid_p,pid_i,pid_d,pid_pd,u,snn_p,snn_i,snn_d,snn_pd,snn_pid
7.30000000000001,,,,,,,,,,,,,
7.40000000000003,,,,,,,,,,,,,
7.50000000000003,,,,,,,,,,,,,
7.60000000000002,,,,,,,,,,,,,
7.70000000000002,,,,,,,,,,,,,
7.80000000000001,,,,,,,,,,,,,
7.90000000000003,,,,,,,,,,,,,
8.00000000000003,,,,,,,,,,,,,
8.10000000000002,,,,,,,,,,,,,
8.20000000000002,,,,,,,,,,,,,
8.30000000000001,,,,,,,,,,,,,
8.40000000000003,,,,,,,,,,,,,
8.50000000000003,,,,,,,,,,,,,
8.60000000000002,,,,,,,,,,,,,
8.70000000000002,,,,,,,,,,,,,
8.80000000000001,,,,,,,,,,,,,
8.90000000000003,,,,,,,,,,,,,
9.00000000000003,,,,,,,,,,,,,
9.10000000000002,,,,,,,,,,,,,
9.20000000000002,,,,,,,,,,,,,
9.30000000000001,,,,,,,,,,,,,
9.40000000000003,,,,,,,,,,,,,
9.50000000000003,,,,,,,,,,,,,
9.60000000000002,,,,,,,,,,,,,
9.70000000000002,,,,,,,,,,,,,
9.80000000000001,,,,,,,,,,,,,
9.90000000000003,,,,,,,,,,,,,
10,,,,,,,,,,,,,
10.1,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,
10.3,,,,,,,,,,,,,
10.4,,,,,,,,,,,,,
10.5,,,,,,,,,,,,,
10.6,,,,,,,,,,,,,
10.7,,,,,,,,,,,,,
10.8,,,,,,,,,,,,,
10.9,,,,,,,,,,,,,
11,,,,,,,,,,,,,
11.1,,,,,,,,,,,,,
11.2,1.49000000953674,0.5,-0.990000009536743,0,0,0,0,0,0,3.15232062339783,0,-3.39171838760376,0
11.3,1.49000000953674,0.5,-0.990000009536743,0,0,0,0,0,0,3.83606910705566,0,-5.27825307846069,0
11.4,1.49000000953674,0.5,-0.990000009536743,0,0,0,0,0,0,2.60365915298462,0,-6.74896907806397,0
11.5,1.48000001907349,0.5,-0.980000019073486,0,0,0,0,0,0,3.90661120414734,0,-7.15278911590576,0
11.6,1.48000001907349,0.5,-0.980000019073486,0,0,0,0,0,0,3.08099460601807,0,-6.91215229034424,0
11.7,1.47000002861023,0.5,-0.97000002861023,0,0,0,0,0,0,2.64146280288696,0,-6.79489326477051,0
11.8,1.46000003814697,0.5,-0.960000038146973,0,0,0,0,0,0,2.95684027671814,0,-6.71744537353516,0
11.9,1.44000005722046,0.5,-0.940000057220459,0,0,0,0,0,0,2.82290649414062,0,-6.68822288513184,0
12,1.42999994754791,0.5,-0.929999947547913,0,0,0,0,0,0,2.36199402809143,0,-6.20760440826416,0
12.1,1.4099999666214,0.5,-0.909999966621399,0,0,0,0,0,0,2.36199402809143,0,-6.20760440826416,0
12.2,1.38999998569489,0.5,-0.889999985694885,0,0,0,0,0,0,2.80227017402649,0,-5.63487720489502,0
12.3,1.36000001430511,0.5,-0.860000014305115,0,0,0,0,0,0,2.80227017402649,0,-5.63487720489502,0
12.4,1.33000004291534,0.5,-0.830000042915344,0,0,0,0,0,0,2.87937450408936,0,-4.94874143600464,0
12.5,1.30999994277954,0.5,-0.809999942779541,0,0,0,0,0,0,2.80185604095459,0,-4.81570863723755,0
12.6,1.26999998092651,0.5,-0.769999980926514,0,0,0,0,0,0,2.35627388954163,0,-4.2793345451355,0
12.7,1.24000000953674,0.5,-0.740000009536743,0,0,0,0,0,0,2.35627388954163,0,-4.2793345451355,0
12.8,1.21000003814697,0.5,-0.710000038146973,0,0,0,0,0,0,2.20229029655457,0,-3.66241812705994,0
12.9,1.16999995708466,0.5,-0.669999957084656,0,0,0,0,0,0,2.20229029655457,0,-3.66241812705994,0
13,1.12999999523163,0.5,-0.629999995231628,0,0,0,0,0,0,2.19334959983826,0,-2.32007336616516,0
13.1,1.0900000333786,0.5,-0.590000033378601,0,0,0,0,0,0,2.19334959983826,0,-2.32007336616516,0
13.2,1.04999995231628,0.5,-0.549999952316284,0,0,0,0,0,0,2.17386245727539,0,-1.03822767734528,0
13.3,1.00999999046326,0.5,-0.509999990463257,0,0,0,0,0,0,1.79344701766968,0,-1.09317898750305,0
13.4,0.97000002861023,0.5,-0.47000002861023,0,0,0,0,0,0,2.08225154876709,0,-1.29793202877045,0
13.5,0.930000007152557,0.5,-0.430000007152557,0,0,0,0,0,0,2.37006735801697,0,-0.574891030788422,0
13.6,0.889999985694885,0.5,-0.389999985694885,0,0,0,0,0,0,2.06531572341919,0,-0.119077757000923,0
13.7,0.839999973773956,0.5,-0.339999973773956,0,0,0,0,0,0,1.76395082473755,0,0.067971311509609,0
13.8,0.800000011920929,0.5,-0.300000011920929,0,0,0,0,0,0,1.76395082473755,0,0.067971311509609,0
13.9,0.759999990463257,0.5,-0.259999990463257,0,0,0,0,0,0,2.0418119430542,0,0.132942840456963,0
14,0.72000002861023,0.5,-0.220000028610229,0,0,0,0,0,0,2.14974164962769,0,0.71011620759964,0
14.1,0.670000016689301,0.5,-0.170000016689301,0,0,0,0,0,0,1.82260417938232,0,1.42303764820099,0
14.2,0.649999976158142,0.5,-0.149999976158142,0,0,0,0,0,0,2.09017467498779,0,1.61895394325256,0
14.3,0.610000014305115,0.5,-0.110000014305115,0,0,0,0,0,0,2.19859528541565,0,2.61445093154907,0
14.4,0.569999992847443,0.5,-0.069999992847443,0,0,0,0,0,0,1.80016791820526,0,2.48113346099854,0
14.5,0.540000021457672,0.5,-0.040000021457672,0,0,0,0,0,0,2.11978960037231,0,3.08749151229858,0
14.6,0.5,0.5,0,0,0,0,0,0,0,1.99730587005615,0,3.65117597579956,0
14.7,0.469999998807907,0.5,0.030000001192093,0,0,0,0,0,0,1.95480680465698,0,3.72303295135498,0
14.8,0.439999997615814,0.5,0.060000002384186,0,0,0,0,0,0,1.95247399806976,0,4.00003814697266,0
14.9,0.409999996423721,0.5,0.090000003576279,0,0,0,0,0,0,1.95247399806976,0,4.00003814697266,0
15,0.389999985694885,0.5,0.110000014305115,0,0,0,0,0,0,2.11132001876831,0,4.548508644104,0
15.1,0.370000004768372,0.5,0.129999995231628,0,0,0,0,0,0,1.8029625415802,0,4.2219386100769,0
15.2,0.360000014305115,0.5,0.139999985694885,0,0,0,0,0,0,1.8029625415802,0,4.2219386100769,0
15.3,0.340000003576279,0.5,0.159999996423721,0,0,0,0,0,0,1.23426783084869,0,4.26346683502197,0
15.4,0.330000013113022,0.5,0.169999986886978,0,0,0,0,0,0,1.50962710380554,0,3.39428043365479,0
15.5,0.319999992847443,0.5,0.180000007152557,0,0,0,0,0,0,1.19227480888367,0,4.47303867340088,0
15.6,0.310000002384186,0.5,0.189999997615814,0,0,0,0,0,0,1.49821615219116,0,3.09256792068481,0
15.7,0.310000002384186,0.5,0.189999997615814,0,0,0,0,0,0,1.58135175704956,0,3.00302720069885,0
15.8,0.300000011920929,0.5,0.199999988079071,0,0,0,0,0,0,1.60394275188446,0,2.28512740135193,0
15.9,0.25,0.5,0.25,0,0,0,0,0,0,1.61008155345917,0,3.44779968261719,0
16,0.239999994635582,0.5,0.260000005364418,0,0,0,0,0,0,1.60254883766174,0,2.08311986923218,0
16.1,0.25,0.5,0.25,0,0,0,0,0,0,1.60970282554626,0,2.4797625541687,0
16.2,0.239999994635582,0.5,0.260000005364418,0,0,0,0,0,0,1.61164677143097,0,2.02250289916992,0
16.3,0.25,0.5,0.25,0,0,0,0,0,0,1.60297417640686,0,2.44650483131409,0
16.4,0.25,0.5,0.25,0,0,0,0,0,0,1.60061740875244,0,1.11738467216492,0
16.5,0.239999994635582,0.5,0.260000005364418,0,0,0,0,0,0,1.60917794704437,0,2.83677673339844,0
16.6,0.239999994635582,0.5,0.260000005364418,0,0,0,0,0,0,1.01103973388672,0,1.33150994777679,0
16.7,0.25,0.5,0.25,0,0,0,0,0,0,0.83930242061615,0,1.62011563777924,0
16.8,0.25,0.5,0.25,0,0,0,0,0,0,0.83930242061615,0,1.62011563777924,0
16.9,0.25,0.5,0.25,0,0,0,0,0,0,0.83930242061615,0,1.62011563777924,0
17,0.259999990463257,0.5,0.240000009536743,0,0,0,0,0,0,0.678812623023987,0,0.135590493679047,0
17.1,0.259999990463257,0.5,0.240000009536743,0,0,0,0,0,0,0.678812623023987,0,0.135590493679047,0
17.2,0.259999990463257,0.5,0.240000009536743,0,0,0,0,0,0,0.678812623023987,0,0.135590493679047,0
17.3,0.25,0.5,0.25,0,0,0,0,0,0,0.678812623023987,0,0.135590493679047,0
17.4,0.259999990463257,0.5,0.240000009536743,0,0,0,0,0,0,0.678812623023987,0,0.135590493679047,0
17.5,0.259999990463257,0.5,0.240000009536743,0,0,0,0,0,0,0.354983866214752,0,1.76499342918396,0
17.6,0.259999990463257,0.5,0.240000009536743,0,0,0,0,0,0,0.354983866214752,0,1.76499342918396,0
17.7,0.25,0.5,0.25,0,0,0,0,0,0,0.354983866214752,0,1.76499342918396,0
17.8,0.25,0.5,0.25,0,0,0,0,0,0,0.661027669906616,0,0.296197831630707,0
17.9,0.25,0.5,0.25,0,0,0,0,0,0,0.361214399337769,0,1.05208468437195,0
18,0.239999994635582,0.5,0.260000005364418,0,0,0,0,0,0,0.764158308506012,0,0.791926741600037,0
18.1,0.239999994635582,0.5,0.260000005364418,0,0,0,0,0,0,0.764158308506012,0,0.791926741600037,0
18.2,0.230000004172325,0.5,0.269999995827675,0,0,0,0,0,0,0.760072350502014,0,0.054282128810883,0
18.3,0.219999998807907,0.5,0.280000001192093,0,0,0,0,0,0,0.838893532752991,0,1.80622732639313,0
18.4,0.219999998807907,0.5,0.280000001192093,0,0,0,0,0,0,1.25248980522156,0,0.768779993057251,0
18.5,0.209999993443489,0.5,0.290000006556511,0,0,0,0,0,0,0.963500678539276,0,1.76132917404175,0
18.6,0.200000002980232,0.5,0.299999997019768,0,0,0,0,0,0,1.27714931964874,0,1.18105852603912,0
18.7,0.189999997615814,0.5,0.310000002384186,0,0,0,0,0,0,1.27714931964874,0,1.18105852603912,0
18.8,0.19,0.5,0.319999992847443,0,0,0,0,0,0,1.29067134857178,0,0.171420156955719,0
18.9,0.19,0.5,0.329999998211861,0,0,0,0,0,0,0.973875999450684,0,2.53818726539612,0
19,0.19,0.5,0.340000003576279,0,0,0,0,0,0,1.28916954994202,0,1.170374751091,0
19.1,0.19,0.5,0.340000003576279,0,0,0,0,0,0,0.973467946052551,0,1.96717214584351,0
19.2,0.19,0.5,0.349999994039535,0,0,0,0,0,0,1.27985775470734,0,1.51172769069672,0
19.3,0.19,0.5,0.359999999403954,0,0,0,0,0,0,0.980138540267944,0,2.60441660881042,0
19.4,0.19,0.5,0.359999999403954,0,0,0,0,0,0,1.38310790061951,0,1.41412162780762,0
19.5,0.19,0.5,0.380000002682209,0,0,0,0,0,0,1.09123110771179,0,2.0957818031311,0
19.6,0.19,0.5,0.380000002682209,0,0,0,0,0,0,1.31185841560364,0,0.685096740722656,0
19.7,0.19,0.5,0.390000000596046,0,0,0,0,0,0,1.31185841560364,0,0.685096740722656,0
19.8,0.19,0.5,0.390000000596046,0,0,0,0,0,0,1.91876268386841,0,1.16247475147247,0
19.9,0.19,0.5,0.399999998509884,0,0,0,0,0,0,1.8372528553009,0,1.95771408081055,0
20,0.19,0.5,0.380000002682209,0,0,0,0,0,0,1.8372528553009,0,1.95771408081055,0
20.1,0.19,0.5,0.390000000596046,0,0,0,0,0,0,1.92485499382019,0,2.10419487953186,0
20.2,0.18,0.5,0.390000000596046,0,0,0,0,0,0,2.14805030822754,0,1.13967156410217,0
20.3,0.18,0.5,0.390000000596046,0,0,0,0,0,0,1.89955878257751,0,2.3466272354126,0
20.4,0.18,0.5,0.390000000596046,0,0,0,0,0,0,1.89955878257751,0,2.3466272354126,0
20.5,0.18,0.5,0.390000000596046,0,0,0,0,0,0,1.83721923828125,0,2.84293556213379,0
20.6,0.18,0.5,0.399999998509884,0,0,0,0,0,0,2.21647310256958,0,1.54498660564423,0
20.7,0.18,0.5,0.390000000596046,0,0,0,0,0,0,1.91815185546875,0,2.5690062046051,0
20.8,0.19,0.5,0.390000000596046,0,0,0,0,0,0,2.44202756881714,0,1.34615886211395,0
