time,meas,ref,error,pid_p,pid_i,pid_d,pid_pd,u
1.3,1.50999999046326,0.5,-1.00999999046326,-9.09000015258789,3.24450063705444,-140,-149.090000152588,-145.845499515533
1.4,1.50999999046326,0.5,-1.00999999046326,-9.09000015258789,3.16875052452087,0,-9.09000015258789,-5.92124962806702
1.5,1.50999999046326,0.5,-1.00999999046326,-9.09000015258789,3.09300065040588,0,-9.09000015258789,-5.99699950218201
1.6,1.50999999046326,0.5,-1.00999999046326,-9.09000015258789,3.01725053787231,0,-9.09000015258789,-6.07274961471558
1.7,1.50999999046326,0.5,-1.00999999046326,-9.09000015258789,2.94150066375732,0,-9.09000015258789,-6.14849948883057
1.8,1.5,0.5,-1,-9,2.86650061607361,1.39999866485596,-7.60000133514404,-4.73350071907043
1.9,1.49000000953674,0.5,-0.990000009536743,-8.90999984741211,2.79225063323975,1.39999866485596,-7.51000118255615,-4.71775054931641
2,1.48000001907349,0.5,-0.980000019073486,-8.81999969482422,2.71875071525574,1.39999866485596,-7.42000102996826,-4.70125031471252
2.1,1.46000003814697,0.5,-0.960000038146973,-8.64000034332275,2.64675068855286,2.79999732971191,-5.84000301361084,-3.19325232505798
2.2,1.44000005722046,0.5,-0.940000057220459,-8.46000099182129,2.5762505531311,2.79999732971191,-5.66000366210938,-3.08375310897827
2.3,1.4099999666214,0.5,-0.909999966621399,-8.1899995803833,2.50800061225891,4.20001268386841,-3.98998689651489,-1.48198628425598
2.4,1.38999998569489,0.5,-0.889999985694885,-8.01000022888184,2.44125056266785,2.79999732971191,-5.21000289916992,-2.76875233650208
2.5,1.36000001430511,0.5,-0.860000014305115,-7.74000024795532,2.37675070762634,4.19999599456787,-3.54000425338745,-1.16325354576111
2.6,1.33000004291534,0.5,-0.830000042915344,-7.47000026702881,2.31450057029724,4.19999599456787,-3.27000427246094,-0.955503702163696
2.7,1.29999995231628,0.5,-0.799999952316284,-7.19999980926514,2.2545006275177,4.20001268386841,-2.99998712539673,-0.745486497879028
2.8,1.25999999046326,0.5,-0.759999990463257,-6.84000015258789,2.19750070571899,5.59999465942383,-1.24000549316406,0.957495212554931
2.9,1.23000001907349,0.5,-0.730000019073486,-6.57000017166138,2.14275050163269,4.19999599456787,-2.37000417709351,-0.227253675460815
3,1.19000005722046,0.5,-0.690000057220459,-6.21000051498413,2.0910005569458,5.59999465942383,-0.610005855560303,1.4809947013855
