time,ref,meas,u,Target,error
0,,0.037429936230183,0.037429936230183,0,0
0.1,,1.27218508720398,1.27218508720398,0.02730541,0.36407214
0.2,,-0.217407882213593,-0.217407882213593,0.05198615,0.32907653
0.3,,-0.014937117695808,-0.014937117695808,0.07196137,0.2663363
0.4,,-0.012131510302425,-0.012131510302425,0.08643814,0.19302359
0.5,,1.26006197929382,1.26006197929382,0.09547968,0.12055388
0.6,,0.001262217760086,0.001262217760086,0.09966067,0.055746526
0.7,,-0.008169049397111,-0.008169049397111,0.099808834,0.0019755159
0.8,,0.350087702274322,0.350087702274322,0.09682398,-0.03979807
0.9,,0.077155902981758,0.077155902981758,0.09156153,-0.070166
1,,0.047824967652559,0.047824967652559,0.08476645,-0.09060111
1.1,,0.003220498561859,0.003220498561859,0.07704407,-0.10296507
1.2,,0.978113293647766,0.978113293647766,0.06885611,-0.109172724
1.3,,0.230774998664856,0.230774998664856,0.060532317,-0.11098394
1.4,,0.085401184856892,0.085401184856892,0.052290346,-0.10989294
1.5,,0.049841817468405,0.049841817468405,0.0442588,-0.10708729
1.6,,0.041143767535687,0.041143767535687,0.036499817,-0.1034531
1.7,,0.039016168564558,0.039016168564558,0.029029246,-0.09960762
1.8,,0.038495741784573,0.038495741784573,0.021833356,-0.095945194
1.9,,0.038368444889784,0.038368444889784,0.014881839,-0.0926869
2,,-0.779068410396576,-0.779068410396576,0.008137285,-0.08992739
2.1,,-0.03064538538456,-0.03064538538456,0.00156161,-0.08767566
2.2,,-0.795949637889862,-0.795949637889862,-0.0048799906,-0.08588801
2.3,,-0.983147978782654,-0.983147978782654,-0.011216978,-0.08449316
2.4,,-1.02893793582916,-1.02893793582916,-0.017472737,-0.08341011
2.5,,-1.0401383638382,-1.0401383638382,-0.023664726,-0.082559876
2.6,,-1.04287815093994,-1.04287815093994,-0.02980516,-0.08187244
2.7,,-1.04354822635651,-1.04354822635651,-0.03590191,-0.08129003
2.8,,-1.04371213912964,-1.04371213912964,-0.041959506,-0.0807679
2.9,,-1.08118224143982,-1.08118224143982,-0.04798002,-0.080273576
3,,-1.05291771888733,-1.05291771888733,-0.05396391,-0.07978517
3.1,,-1.04600405693054,-1.04600405693054,-0.059910607,-0.0792893
3.2,,-1.04431295394897,-1.04431295394897,-0.06581904,-0.078779094
3.3,,-1.04389929771423,-1.04389929771423,-0.07168795,-0.078252204
3.4,,-1.0437980890274,-1.0437980890274,-0.07751615,-0.07770931
3.5,,-1.04377329349518,-1.04377329349518,-0.08330262,-0.077152826
3.6,,-0.132823795080185,-0.132823795080185,-0.08904656,-0.07658596
3.7,,-0.820943117141724,-0.820943117141724,-0.09474747,-0.07601213
3.8,,-0.989261507987976,-0.989261507987976,-0.10040506,-0.075434476
3.9,,-1.03043329715729,-1.03043329715729,-0.106019236,-0.07485573
4,,-1.04050421714783,-1.04050421714783,-0.111590095,-0.07427806
4.1,,-1.0429675579071,-1.0429675579071,-0.11711782,-0.07370309
4.2,,-1.04357016086578,-1.04357016086578,-0.12260272,-0.073131956
4.3,,-1.08114755153656,-1.08114755153656,-0.12804513,-0.0725654
4.4,,-1.05290925502777,-1.05290925502777,-0.13344541,-0.07200381
4.5,,-1.04600191116333,-1.04600191116333,-0.13880396,-0.071447365
4.6,,-1.04431235790253,-1.04431235790253,-0.14412117,-0.07089606
4.7,,-1.04389905929565,-1.04389905929565,-0.1493974,-0.070349805
4.8,,-1.08122801780701,-1.08122801780701,-0.15463303,-0.06980843
4.9,,-1.05292892456055,-1.05292892456055,-0.15982842,-0.06927178
5,,-1.0460067987442,-1.0460067987442,-0.1649839,-0.06873967
5.1,,-1.04431354999542,-1.04431354999542,-0.1700998,-0.06821193
5.2,,-1.04389941692352,-1.04389941692352,-0.17517643,-0.06768844
5.3,,-1.08122801780701,-1.08122801780701,-0.1802141,-0.06716908
5.4,,-1.05292892456055,-1.05292892456055,-0.18521313,-0.06665375
5.5,,-1.0460067987442,-1.0460067987442,-0.19017382,-0.066142395
5.6,,-1.04431354999542,-1.04431354999542,-0.19509643,-0.065634936
5.7,,-0.095526054501534,-0.095526054501534,-0.19998129,-0.06513135
