time,ref,meas,u,Target,error
0,,-0.387897819280624,-0.387897819280624,0,0
0.1,,0.221553355455399,0.221553355455399,0.02730541,0.36407214
0.2,,-0.173186719417572,-0.173186719417572,0.05198615,0.32907653
0.3,,0.296416074037552,0.296416074037552,0.07196137,0.2663363
0.4,,1.49115025997162,1.49115025997162,0.08643814,0.19302359
0.5,,1.1392080783844,1.1392080783844,0.09547968,0.12055388
0.6,,1.04301571846008,1.04301571846008,0.09966067,0.055746526
0.7,,1.01672458648682,1.01672458648682,0.099808834,0.0019755159
0.8,,1.00953876972198,1.00953876972198,0.09682398,-0.03979807
0.9,,1.00757479667664,1.00757479667664,0.09156153,-0.070166
1,,1.25604486465454,1.25604486465454,0.08476645,-0.09060111
1.1,,1.07494938373566,1.07494938373566,0.07704407,-0.10296507
1.2,,1.02545261383057,1.02545261383057,0.06885611,-0.109172724
1.3,,1.26093113422394,1.26093113422394,0.060532317,-0.11098394
1.4,,1.07628488540649,1.07628488540649,0.052290346,-0.10989294
1.5,,1.02581763267517,1.02581763267517,0.0442588,-0.10708729
1.6,,1.26103091239929,1.26103091239929,0.036499817,-0.1034531
1.7,,0.344663143157959,0.344663143157959,0.029029246,-0.09960762
1.8,,0.825851857662201,0.825851857662201,0.021833356,-0.095945194
1.9,,0.474727511405945,0.474727511405945,0.014881839,-0.0926869
2,,0.129751846194267,0.129751846194267,0.008137285,-0.08992739
2.1,,0.035463586449623,0.035463586449623,0.00156161,-0.08767566
2.2,,0.258699715137482,0.258699715137482,-0.0048799906,-0.08588801
2.3,,0.070707432925701,0.070707432925701,-0.011216978,-0.08449316
2.4,,0.019325653091073,0.019325653091073,-0.017472737,-0.08341011
2.5,,0.25428894162178,0.25428894162178,-0.023664726,-0.082559876
2.6,,0.069501884281635,0.069501884281635,-0.02980516,-0.08187244
2.7,,0.018996154889464,0.018996154889464,-0.03590191,-0.08129003
2.8,,0.254198879003525,0.254198879003525,-0.041959506,-0.0807679
2.9,,0.069477275013924,0.069477275013924,-0.04798002,-0.080273576
3,,-0.712659597396851,-0.712659597396851,-0.05396391,-0.07978517
3.1,,-0.677425265312195,-0.677425265312195,-0.059910607,-0.0792893
3.2,,-0.916801929473877,-0.916801929473877,-0.06581904,-0.078779094
3.3,,-0.98222804069519,-0.98222804069519,-0.07168795,-0.078252204
3.4,,-1.00011014938355,-1.00011014938355,-0.07751615,-0.07770931
3.5,,-0.75599080324173,-0.75599080324173,-0.08330262,-0.077152826
3.6,,-0.938275337219238,-0.938275337219238,-0.08904656,-0.07658596
3.7,,-0.988097071647644,-0.988097071647644,-0.09474747,-0.07601213
3.8,,-1.00171434879303,-1.00171434879303,-0.10040506,-0.075434476
3.9,,-0.756429255008698,-0.756429255008698,-0.106019236,-0.07485573
4,,-0.938395202159882,-0.938395202159882,-0.111590095,-0.07427806
4.1,,-0.98812985420227,-0.98812985420227,-0.11711782,-0.07370309
4.2,,-1.00172328948975,-1.00172328948975,-0.12260272,-0.073131956
4.3,,-0.756431698799133,-0.756431698799133,-0.12804513,-0.0725654
4.4,,-0.938395857810974,-0.938395857810974,-0.13344541,-0.07200381
4.5,,-0.988130033016205,-0.988130033016205,-0.13880396,-0.071447365
4.6,,-1.00172328948975,-1.00172328948975,-0.14412117,-0.07089606
4.7,,-0.756431698799133,-0.756431698799133,-0.1493974,-0.070349805
4.8,,-0.938395857810974,-0.938395857810974,-0.15463303,-0.06980843
4.9,,-0.988130033016205,-0.988130033016205,-0.15982842,-0.06927178
5,,-1.00172328948975,-1.00172328948975,-0.1649839,-0.06873967
5.1,,-0.756431698799133,-0.756431698799133,-0.1700998,-0.06821193
5.2,,-0.938395857810974,-0.938395857810974,-0.17517643,-0.06768844
5.3,,-0.988130033016205,-0.988130033016205,-0.1802141,-0.06716908
5.4,,-1.00172328948975,-1.00172328948975,-0.18521313,-0.06665375
5.5,,-0.756431698799133,-0.756431698799133,-0.19017382,-0.066142395
5.6,,-0.938395857810974,-0.938395857810974,-0.19509643,-0.065634936
5.7,,-0.988130033016205,-0.988130033016205,-0.19998129,-0.06513135
5.8,,-1.00172328948975,-1.00172328948975,-0.20482865,-0.06463159
5.9,,-0.756431698799133,-0.756431698799133,-0.20963883,-0.064135626
6,,-0.938395857810974,-0.938395857810974,-0.21441208,-0.06364344
6.1,,-0.988130033016205,-0.988130033016205,-0.21914871,-0.063155
6.2,,-1.00172328948975,-1.00172328948975,-0.22384898,-0.06267029
6.3,,-1.00543856620789,-1.00543856620789,-0.22851318,-0.062189292
6.4,,-0.757447123527527,-0.757447123527527,-0.23314157,-0.061711967
6.5,,-0.938673377037048,-0.938673377037048,-0.23773445,-0.061238304
6.6,,-0.988205909729004,-0.988205909729004,-0.24229208,-0.06076827
6.7,,-1.00174403190613,-1.00174403190613,-0.24681471,-0.06030184
6.8,,-1.00544428825378,-1.00544428825378,-0.25130263,-0.059838995
6.9,,-0.757448732852936,-0.757448732852936,-0.2557561,-0.0593797
7,,-0.938673853874206,-0.938673853874206,-0.2601754,-0.058923934
7.1,,-0.988206028938293,-0.988206028938293,-0.2645608,-0.05847167
7.2,,-1.00174403190613,-1.00174403190613,-0.2689125,-0.058022875
7.3,,-1.00544428825378,-1.00544428825378,-0.27323082,-0.057577524
7.4,,-1.00645565986633,-1.00645565986633,-0.27751598,-0.057135597
7.5,,-0.757725119590759,-0.757725119590759,-0.28176826,-0.05669706
