time,ref,meas,u,Target
0,0,0,0,0
0.1,0.36407214,-0.392177671194076,-0.392177671194076,0.02730541
0.2,0.32907653,0.827814221382141,0.827814221382141,0.05198615
0.3,0.2663363,0.674917101860046,0.674917101860046,0.07196137
0.4,0.19302359,1.034747838974,1.034747838974,0.08643814
0.5,0.12055388,0.740349590778351,0.740349590778351,0.09547968
0.6,0.055746526,1.04332733154297,1.04332733154297,0.09966067
0.7,0.0019755159,0.907105207443237,0.907105207443237,0.099808834
0.8,-0.03979807,1.08864104747772,1.08864104747772,0.09682398
0.9,-0.070166,0.71008175611496,0.71008175611496,0.09156153
1,-0.09060111,1.04430341720581,1.04430341720581,0.08476645
1.1,-0.10296507,1.54659759998322,1.54659759998322,0.07704407
1.2,-0.109172724,1.17523682117462,1.17523682117462,0.06885611
1.3,-0.11098394,1.28159868717194,1.28159868717194,0.060532317
1.4,-0.10989294,0.686748385429382,0.686748385429382,0.052290346
1.5,-0.10708729,1.69242286682129,1.69242286682129,0.0442588
1.6,-0.1034531,0.50258606672287,0.50258606672287,0.036499817
1.7,-0.09960762,0.803015947341919,0.803015947341919,0.029029246
1.8,-0.095945194,0.65307879447937,0.65307879447937,0.021833356
1.9,-0.0926869,0.785960495471954,0.785960495471954,0.014881839
2,-0.08992739,0.314216464757919,0.314216464757919,0.008137285
2.1,-0.08767566,0.876719892024994,0.876719892024994,0.00156161
2.2,-0.08588801,0.490266025066376,0.490266025066376,-0.0048799906
2.3,-0.08449316,0.590331315994263,0.590331315994263,-0.011216978
2.4,-0.08341011,0.203106805682182,0.203106805682182,-0.017472737
2.5,-0.082559876,0.329458594322205,0.329458594322205,-0.023664726
2.6,-0.08187244,1.38450527191162,1.38450527191162,-0.02980516
2.7,-0.08129003,0.400655150413513,0.400655150413513,-0.03590191
2.8,-0.0807679,0.543742418289185,0.543742418289185,-0.041959506
2.9,-0.080273576,-0.429325878620148,-0.429325878620148,-0.04798002
3,-0.07978517,0.068372331559658,0.068372331559658,-0.05396391
3.1,-0.0792893,-0.407114744186401,-0.407114744186401,-0.059910607
3.2,-0.078779094,-0.67849338054657,-0.67849338054657,-0.06581904
