time,ref,meas,u,target_h,error
0.1,,-3.54530239105225,-3.54530239105225,-7.5,-2.17
0.2,,-5.69469547271729,-5.69469547271729,-7.5,-2.17
0.3,,-6.45760631561279,-6.45760631561279,-7.5,-2.17
0.4,,-7.10158157348633,-7.10158157348633,-7.4,-2.17
0.5,,-7.24277353286743,-7.24277353286743,-7.4,-2.17
0.6,,-7.1027307510376,-7.1027307510376,-7.3,-2.17
0.7,,-7.03916501998901,-7.03916501998901,-7.2,-2.16
0.8,,-7.20852851867676,-7.20852851867676,-7,-2.15
0.9,,-7.30145072937012,-7.30145072937012,-6.7,-2.13
1,,-7.14819431304932,-7.14819431304932,-6.3,-2.11
1.1,,-7.26834774017334,-7.26834774017334,-6,-2.08
1.2,,-7.13003206253052,-7.13003206253052,-5.5,-2.06
1.3,,-7.04087448120117,-7.04087448120117,-5.1,-2.03
1.4,,-7.20946598052979,-7.20946598052979,-4.78,-1.1999999
1.5,,-7.30196475982666,-7.30196475982666,-4.350001,-1.16
1.6,,-7.14847612380981,-7.14847612380981,-5.2699957,-1.1299999
1.7,,-7.02026224136353,-7.02026224136353,-4.909996,-1.09
1.8,,-6.99391841888428,-6.99391841888428,-3.8500054,-1.0500001
1.9,,-6.97946453094482,-6.97946453094482,-3.4899964,-1.0099999
2,,-6.9142632484436,-6.9142632484436,-2.3399975,-0.96
2.1,,-6.69107437133789,-6.69107437133789,-1.9800061,-0.92
2.2,,-5.47477531433106,-5.47477531433106,-2.3199964,-0.87999994
2.3,,-5.65320587158203,-5.65320587158203,-2.749996,-0.84999996
2.4,,-5.79494762420654,-5.79494762420654,-2.3900046,-0.81
2.5,,-4.98310947418213,-4.98310947418213,-0.53999704,-0.75999993
2.6,,-4.93452405929565,-4.93452405929565,0.61000186,-0.71
2.7,,-3.80580186843872,-3.80580186843872,1.8499923,-0.65000004
2.8,,-3.6374032497406,-3.6374032497406,2.3000014,-0.59999996
2.9,,-2.40804576873779,-2.40804576873779,2.0500016,-0.55
3,,-2.6742217540741,-2.6742217540741,1.710003,-0.50999993
3.1,,-1.22539186477661,-1.22539186477661,2.1600025,-0.45999998
3.2,,-1.97592401504517,-1.97592401504517,2.5199938,-0.42000002
3.3,,-1.30017101764679,-1.30017101764679,2.970003,-0.36999995
3.4,,-1.11429071426392,-1.11429071426392,3.3300025,-0.32999998
3.5,,-1.26434218883514,-1.26434218883514,2.9899945,-0.29000002
3.6,,-0.906184196472168,-0.906184196472168,3.3500035,-0.24999994
3.7,,0.636131048202515,0.636131048202515,3.7100031,-0.20999998
3.8,,-0.064495384693146,-0.064495384693146,4.0699944,-0.17000002
3.9,,0.443525850772858,0.443525850772858,3.6399996,-0.13999999
4,,1.37665855884552,1.37665855884552,4.000004,-0.099999964
4.1,,0.949474215507507,0.949474215507507,4.2699995,-0.06999999
4.2,,1.65425050258636,1.65425050258636,3.8400006,-0.03999996
4.3,,2.20188426971436,2.20188426971436,4.8999996,0
4.4,,2.58963394165039,2.58963394165039,4.3800006,0.02000004
4.5,,3.40786194801331,3.40786194801331,3.950001,0.050000012
4.6,,3.70241332054138,3.70241332054138,4.129997,0.06999999
4.7,,4.03729724884033,4.03729724884033,3.6100018,0.09000003
4.8,,4.0371789932251,4.0371789932251,3.7900016,0.110000014
4.9,,3.7577018737793,3.7577018737793,3.179998,0.120000005
5,,2.99130582809448,2.99130582809448,2.5699985,0.13
5.1,,3.59194564819336,3.59194564819336,2.6599987,0.13999999
5.2,,3.29856634140015,3.29856634140015,1.9599992,0.13999999
5.3,,3.34705138206482,3.34705138206482,2.0500038,0.15000004
5.4,,1.85362029075623,1.85362029075623,2.0500038,0.15000004
5.5,,2.5510516166687,2.5510516166687,1.3500003,0.15000004
5.6,,1.86705422401428,1.86705422401428,1.3500003,0.15000004
5.7,,2.11147832870483,2.11147832870483,1.3500003,0.15000004
5.8,,1.56588017940521,1.56588017940521,1.3500003,0.15000004
5.9,,2.03681230545044,2.03681230545044,1.3500003,0.15000004
6,,0.661602079868317,0.661602079868317,-1.0200021,0.120000005
6.1,,0.13808585703373,0.13808585703373,-1.8100014,0.110000014
6.2,,1.41260671615601,1.41260671615601,0.2900008,0.110000014
6.3,,0.550129592418671,0.550129592418671,0.20000088,0.100000024
6.4,,-0.154076308012009,-0.154076308012009,-0.58999836,0.09000003
6.5,,0.586203515529633,0.586203515529633,-0.680003,0.07999998
6.6,,0.315880388021469,0.315880388021469,-0.7700029,0.06999999
6.7,,-0.051596656441689,-0.051596656441689,-0.85999864,0.060000002
6.8,,-0.484217435121536,-0.484217435121536,-1.7399979,0.04000002
6.9,,-0.04604235291481,-0.04604235291481,-1.8299978,0.030000031
7,,-0.481170028448105,-0.481170028448105,-0.42999905,0.030000031
7.1,,-0.737143874168396,-0.737143874168396,-1.3100029,0.00999999
7.2,,-0.860347509384155,-0.860347509384155,-2.100002,0
7.3,,-0.914674043655396,-0.914674043655396,-1.4899986,-0.00999999
7.4,,-1.18455195426941,-1.18455195426941,-1.5799985,-0.01999998
7.5,,-1.34079122543335,-1.34079122543335,-1.6699984,-0.029999971
7.6,,-0.775174677371979,-0.775174677371979,-1.7599983,-0.03999996
7.7,,-1.31905508041382,-1.31905508041382,-2.6400023,-0.060000002
7.8,,-1.65794682502747,-1.65794682502747,-2.7300022,-0.06999999
7.9,,-1.60052251815796,-1.60052251815796,-2.1199985,-0.07999998
8,,-1.36878967285156,-1.36878967285156,-2.9999976,-0.099999964
8.1,,-2.1189079284668,-2.1189079284668,-2.2999983,-0.099999964
8.2,,-1.45033383369446,-1.45033383369446,-2.4800029,-0.120000005
8.3,,-1.27311766147614,-1.27311766147614,-3.2700021,-0.13
8.4,,-1.63274300098419,-1.63274300098419,-2.6599987,-0.13999999
8.5,,-2.06838178634644,-2.06838178634644,-1.9599992,-0.13999999
8.6,,-1.2025374174118,-1.2025374174118,-2.0499992,-0.14999998
8.7,,-1.587327003479,-1.587327003479,-2.0499992,-0.14999998
8.8,,-1.63378763198853,-1.63378763198853,-2.1399992,-0.15999997
8.9,,-0.95740282535553,-0.95740282535553,-2.1399992,-0.15999997
9,,-1.04315590858459,-1.04315590858459,-2.2300036,-0.17000002
9.1,,-1.76936888694763,-1.76936888694763,-2.2300036,-0.17000002
9.2,,-1.03848195075989,-1.03848195075989,-1.5300001,-0.17000002
9.3,,-1.08094882965088,-1.08094882965088,-1.5300001,-0.17000002
9.4,,-1.35595989227295,-1.35595989227295,-1.5300001,-0.17000002
9.5,,-0.804970800876617,-0.804970800876617,-1.5300001,-0.17000002
9.6,,-1.20776319503784,-1.20776319503784,-1.5300001,-0.17000002
9.7,,-1.17060565948486,-1.17060565948486,-0.7399962,-0.15999997
9.8,,-0.709966540336609,-0.709966540336609,-0.7399962,-0.15999997
9.9,,-1.14894688129425,-1.14894688129425,-1.4399997,-0.15999997
10,,-1.14502716064453,-1.14502716064453,-0.65000045,-0.14999998
10.1,,-0.689241111278534,-0.689241111278534,-0.65000045,-0.14999998
10.2,,-0.699733972549439,-0.699733972549439,-0.56000054,-0.13999999
10.3,,-1.3364052772522,-1.3364052772522,-0.56000054,-0.13999999
10.4,,-0.356400281190872,-0.356400281190872,-0.47000062,-0.13
10.5,,-0.503848671913147,-0.503848671913147,0.31999862,-0.120000005
10.6,,-0.79525750875473,-0.79525750875473,-0.3800007,-0.120000005
10.7,,-0.493169903755188,-0.493169903755188,-0.2900008,-0.110000014
10.8,,-0.592158198356628,-0.592158198356628,0.50000316,-0.099999964
10.9,,-1.07867932319641,-1.07867932319641,-0.19999617,-0.099999964
11,,-0.214997202157974,-0.214997202157974,-0.11000043,-0.089999974
11.1,,0.02389756590128,0.02389756590128,0.6799988,-0.07999998
11.2,,-1.2041107416153,-1.2041107416153,-0.020000517,-0.07999998
11.3,,-0.270545989274979,-0.270545989274979,0.0699994,-0.06999999
11.4,,-0.019849628210068,-0.019849628210068,0.85999864,-0.060000002
11.5,,-0.313566744327545,-0.313566744327545,0.15999931,-0.060000002
11.6,,-0.494564950466156,-0.494564950466156,0.24999923,-0.050000012
11.7,,0.118751049041748,0.118751049041748,0.24999923,-0.050000012
11.8,,0.19374081492424,0.19374081492424,0.34000385,-0.03999996
11.9,,-0.196378916501999,-0.196378916501999,0.34000385,-0.03999996
12,,0.020842634141445,0.020842634141445,0.4299996,-0.029999971
12.1,,0.401532858610153,0.401532858610153,0.4299996,-0.029999971
12.2,,0.597131133079529,0.597131133079529,0.5199995,-0.01999998
12.3,,0.935449481010437,0.935449481010437,1.3099988,-0.00999999
12.4,,0.641827881336212,0.641827881336212,0.6099994,-0.00999999
12.5,,0.74224054813385,0.74224054813385,0.69999933,0
12.6,,1.00179481506348,1.00179481506348,0.69999933,0
12.7,,0.523370802402496,0.523370802402496,0.78999925,0.00999999
12.8,,0.881710410118103,0.881710410118103,0.78999925,0.00999999
12.9,,0.902019083499908,0.902019083499908,0.88000387,0.02000004
13,,0.424850136041641,0.424850136041641,0.88000387,0.02000004
13.1,,0.206826269626617,0.206826269626617,0.9699996,0.030000031
13.2,,0.291668117046356,0.291668117046356,0.9699996,0.030000031
13.3,,0.578288435935974,0.578288435935974,1.0599996,0.04000002
13.4,,0.495473325252533,0.495473325252533,1.0599996,0.04000002
