time,ref,meas,u,target_h
0.0,0.1,0.06040332466363907,0.06040332466363907,0.0
0.01,0.1,0.27648892998695374,0.27648892998695374,0.0
0.02,0.1,0.5545489192008972,0.5545489192008972,0.00028681027
0.03,0.1,1.0249199867248535,1.0249199867248535,0.0008517405
0.04,0.1,1.3310636281967163,1.3310636281967163,0.0016862776
0.05,0.1,1.5210886001586914,1.5210886001586914,0.002782083
0.06,0.1,1.7233997583389282,1.7233997583389282,0.00413099
0.07,0.1,2.0494472980499268,2.0494472980499268,0.0057250005
0.08,0.1,2.221338987350464,2.221338987350464,0.0075562834
0.09,0.1,2.3412837982177734,2.3412837982177734,0.009617171
0.1,0.1,2.4761314392089844,2.4761314392089844,0.011900158
0.11,0.1,2.5029637813568115,2.5029637813568115,0.014397895
0.12,0.1,2.630631923675537,2.630631923675537,0.017103191
0.13,0.1,2.702192783355713,2.702192783355713,0.020009007
0.14,0.1,2.6652259826660156,2.6652259826660156,0.023108456
0.15,0.1,2.7899129390716553,2.7899129390716553,0.026394801
0.16,0.1,2.753814458847046,2.753814458847046,0.029861446
0.17,0.1,2.758547067642212,2.758547067642212,0.03350194
0.18,0.1,2.724776268005371,2.724776268005371,0.037309986
0.19,0.1,2.8200478553771973,2.8200478553771973,0.041279405
0.2,0.1,2.803799867630005,2.803799867630005,0.045404166
0.21,0.1,2.7967710494995117,2.7967710494995117,0.049678374
0.22,0.1,2.72700572013855,2.72700572013855,0.054096263
0.23,0.1,2.771951675415039,2.771951675415039,0.0586522
0.24,0.1,2.8162388801574707,2.8162388801574707,0.06334067
0.25,0.1,2.817159414291382,2.817159414291382,0.068156295
0.26,0.1,2.7246992588043213,2.7246992588043213,0.07309381
0.27,0.1,2.8150763511657715,2.8150763511657715,0.07814809
0.28,0.1,2.8001813888549805,2.8001813888549805,0.0833141
0.29,0.1,2.7344186305999756,2.7344186305999756,0.08858695
0.3,0.1,2.7022030353546143,2.7022030353546143,0.09396185
0.31,0.1,2.828606367111206,2.828606367111206,0.09943412
0.32,0.1,2.7485454082489014,2.7485454082489014,0.10499921
0.33,0.1,2.753528356552124,2.753528356552124,0.11065265
0.34,0.1,2.714639902114868,2.714639902114868,0.1163901
0.35000000000000003,0.1,2.7041244506835938,2.7041244506835938,0.12220732
0.36,0.1,2.793996810913086,2.793996810913086,0.12810017
0.37,0.1,2.7637503147125244,2.7637503147125244,0.13406463
0.38,0.1,2.6806299686431885,2.6806299686431885,0.14009674
0.39,0.1,2.78171443939209,2.78171443939209,0.14619265
0.4,0.1,2.7663562297821045,2.7663562297821045,0.15234865
0.41000000000000003,0.1,2.665511131286621,2.665511131286621,0.15856108
0.42,0.1,2.7167885303497314,2.7167885303497314,0.16482638
0.43,0.1,2.7186639308929443,2.7186639308929443,0.17114107
0.44,0.1,2.6772305965423584,2.6772305965423584,0.1775018
0.45,0.1,2.697319269180298,2.697319269180298,0.18390526
0.46,0.1,2.6879310607910156,2.6879310607910156,0.19034825
0.47000000000000003,0.1,2.650874614715576,2.650874614715576,0.19682768
0.48,0.1,2.6836724281311035,2.6836724281311035,0.20334047
0.49,0.1,2.690028429031372,2.690028429031372,0.20988369
0.5,0.1,2.5799214839935303,2.5799214839935303,0.21645445
0.51,0.1,2.6561973094940186,2.6561973094940186,0.22304997
0.52,0.1,2.689725160598755,2.689725160598755,0.22966751
0.53,0.1,2.5880815982818604,2.5880815982818604,0.23630445
0.54,0.1,2.6366238594055176,2.6366238594055176,0.24295819
0.55,0.1,2.622404098510742,2.622404098510742,0.24962623
0.56,0.1,2.586531639099121,2.586531639099121,0.25630617
0.5700000000000001,0.1,2.5790345668792725,2.5790345668792725,0.26299563
0.58,0.1,2.5700058937072754,2.5700058937072754,0.2696923
0.59,0.1,2.5056653022766113,2.5056653022766113,0.27639398
0.6,0.1,2.6208202838897705,2.6208202838897705,0.28309852
0.61,0.1,2.5037310123443604,2.5037310123443604,0.28980377
0.62,0.1,2.419290781021118,2.419290781021118,0.29650778
0.63,0.1,2.509476661682129,2.509476661682129,0.30320847
0.64,0.1,2.5151329040527344,2.5151329040527344,0.30990404
0.65,0.1,2.394711971282959,2.394711971282959,0.31659254
0.66,0.1,2.4691123962402344,2.4691123962402344,0.32327226
0.67,0.1,2.4630939960479736,2.4630939960479736,0.3299414
0.68,0.1,2.394167184829712,2.394167184829712,0.33659828
0.6900000000000001,0.1,2.379185914993286,2.379185914993286,0.34324127
