time,meas,ref,error,pid_p,pid_i,pid_d,pid_pd,u,snn_p,snn_i,snn_d,snn_pd,snn_pid
0.0,0.0,1.0,0.949999999254942,8.54999999329448,0.009499999992549421,0.0,8.54999999329448,8.559499993287028,0.0,0.0,0.0,0.0,0.0
0.1,0.0,1.0,0.949999999254942,8.54999999329448,0.018999999985098843,0.0,8.54999999329448,8.568999993279578,0.0,0.0,0.0,0.0,0.0
0.2,0.0,1.0,0.949999999254942,8.54999999329448,0.028499999977648263,0.0,8.54999999329448,8.578499993272127,0.0,0.0,0.0,0.0,0.0
0.3,0.0,1.0,0.949999999254942,8.54999999329448,0.037999999970197686,0.0,8.54999999329448,8.587999993264678,0.0,0.0,0.0,0.0,0.0
0.4,0.0,1.0,0.949999999254942,8.54999999329448,0.04749999996274711,0.0,8.54999999329448,8.597499993257227,0.0,0.0,0.0,0.0,0.0
0.5,0.0,1.0,0.949999999254942,8.54999999329448,0.05699999995529653,0.0,8.54999999329448,8.606999993249776,0.0,0.0,0.0,0.0,0.0
0.6,0.0,1.0,0.949999999254942,8.54999999329448,0.06649999994784596,0.0,8.54999999329448,8.616499993242325,0.0,0.0,0.0,0.0,0.0
0.7,0.0,1.0,0.949999999254942,8.54999999329448,0.07599999994039539,0.0,8.54999999329448,8.625999993234874,0.0,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.949999999254942,8.54999999329448,0.08549999993294481,0.0,8.54999999329448,8.635499993227423,0.0,0.0,0.0,0.0,0.0
0.9,0.0,1.0,0.9450000002980232,8.505000002682209,0.09494999993592504,-0.3499999269843179,8.155000075697892,8.249950075633818,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.9400000013411044,8.460000012069939,0.10434999994933608,-0.6999998539686358,7.7600001581013025,7.864350158050639,0.0,0.0,0.0,0.0,0.0
1.1,0.0,1.0,0.9199999999254942,8.279999999329448,0.11354999994859101,-1.750000026077032,6.529999973252416,6.643549973201006,0.0,0.0,0.0,0.0,0.0
1.2,0.0,1.0,0.8999999985098839,8.099999986588955,0.12254999993368985,-2.800000198185436,5.299999788403519,5.422549788337208,0.0,0.0,0.0,0.0,0.0
1.3,0.0,1.0,0.8850000016391277,7.96500001475215,0.13139999995008111,-2.4499998800456524,5.515000134706497,5.646400134656579,0.0,0.0,0.0,0.0,0.0
1.4,0.0,1.0,0.8700000047683716,7.830000042915344,0.14009999999776485,-2.099999561905861,5.730000481009483,5.870100481007248,0.0,0.0,0.0,0.0,0.0
1.5,0.0,1.0,0.8500000014901161,7.650000013411045,0.14860000001266602,-2.450000010430813,5.200000002980232,5.348600002992899,0.0,0.0,0.0,0.0,0.0
1.6,0.0,1.0,0.8299999982118607,7.469999983906746,0.15689999999478463,-2.8000004589557648,4.669999524950981,4.826899524945766,0.0,0.0,0.0,0.0,0.0
1.7,0.0,1.0,0.7850000038743019,7.065000034868717,0.16475000003352763,-4.549999833106995,2.5150002017617226,2.67975020179525,0.0,0.0,0.0,0.0,0.0
1.8,0.0,1.0,0.7400000095367432,6.6600000858306885,0.17215000012889506,-6.2999992072582245,0.360000878572464,0.5321508787013594,0.0,0.0,0.0,0.0,0.0
1.9,0.0,1.0,0.7150000035762787,6.435000032186508,0.17930000016465786,-4.900000020861626,1.5350000113248825,1.7143000114895406,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,0.6899999976158142,6.209999978542328,0.18620000014081597,-3.500000834465027,2.709999144077301,2.8961991442181167,0.0,0.0,0.0,0.0,0.0
2.1,0.0,1.0,0.6449999958276749,5.804999962449074,0.19265000009909272,-4.9000005424022675,0.9049994200468063,1.097649420145899,0.0,0.0,0.0,0.0,0.0
2.2,0.0,1.0,0.5999999940395355,5.39999994635582,0.19865000003948807,-6.300000250339508,-0.9000003039836884,-0.7013503039442002,0.0,0.0,0.0,0.0,0.0
2.3,0.0,1.0,0.5750000029802322,5.17500002682209,0.2044000000692904,-4.899999499320984,0.27500052750110626,0.4794005275703963,0.0,0.0,0.0,0.0,0.0
2.4,0.0,1.0,0.550000011920929,4.950000107288361,0.2099000001884997,-3.4999987483024597,1.4500013589859009,1.659901359174401,0.0,0.0,0.0,0.0,0.0
2.5,0.0,1.0,0.5150000154972076,4.635000139474869,0.21505000034347177,-4.199999123811722,0.435001015663147,0.6500510160066186,0.0,0.0,0.0,0.0,0.0
2.6,0.0,1.0,0.4800000190734863,4.320000171661376,0.2198500005342066,-4.899999499320987,-0.5799993276596114,-0.3601493271254048,0.0,0.0,0.0,0.0,0.0
2.7,0.0,1.0,0.4500000178813934,4.05000016093254,0.22435000071302055,-4.549999833106998,-0.4999996721744582,-0.27564967146143804,0.0,0.0,0.0,0.0,0.0
2.8,0.0,1.0,0.4200000166893005,3.7800001502037044,0.22855000087991356,-4.200000166893005,-0.420000016689301,-0.19145001580938725,0.0,0.0,0.0,0.0,0.0
2.9,0.0,1.0,0.3799999952316284,3.4199999570846558,0.23235000083222987,-4.9000015854835475,-1.4800016283988917,-1.247651627566662,0.0,0.0,0.0,0.0,0.0
3.0,0.0,1.0,0.3399999737739563,3.0599997639656067,0.23575000056996942,-5.600003004074093,-2.5400032401084864,-2.304253239538517,0.0,0.0,0.0,0.0,0.0
3.1,0.0,1.0,0.3099999725818634,2.7899997532367706,0.23885000029578804,-4.900001585483551,-2.1100018322467804,-1.8711518319509923,0.0,0.0,0.0,0.0,0.0
3.2,0.0,1.0,0.2799999713897705,2.5199997425079346,0.24165000000968573,-4.200000166893005,-1.6800004243850708,-1.4383504243753853,0.0,0.0,0.0,0.0,0.0
3.3,0.0,1.0,0.2799999713897705,2.5199997425079346,0.24444999972358344,-2.1000000834465027,0.4199996590614319,0.6644496587850153,0.0,0.0,0.0,0.0,0.0
3.4,0.0,1.0,0.2799999713897705,2.5199997425079346,0.24724999943748116,0.0,2.5199997425079346,2.767249741945416,0.0,0.0,0.0,0.0,0.0
3.5,0.0,1.0,0.2549999952316284,2.2949999570846558,0.24979999938979744,-1.7499983310699463,0.5450016260147095,0.7948016254045069,0.0,0.0,0.0,0.0,0.0
3.6,0.0,1.0,0.2300000190734863,2.0700001716613765,0.2520999995805323,-3.4999966621398944,-1.4299964904785178,-1.1778964908979854,0.0,0.0,0.0,0.0,0.0
3.7,0.0,1.0,0.2100000083446502,1.890000075101852,0.25419999966397877,-3.1499990820884745,-1.2599990069866225,-1.005799007322644,0.0,0.0,0.0,0.0,0.0
3.8,0.0,1.0,0.1899999976158142,1.7099999785423279,0.2560999996401369,-2.8000015020370466,-1.0900015234947187,-0.8339015238545817,0.0,0.0,0.0,0.0,0.0
3.9,0.0,1.0,0.1699999868869781,1.529999881982803,0.2577999995090067,-2.8000015020370483,-1.2700016200542454,-1.0122016205452387,0.0,0.0,0.0,0.0,0.0
