time,meas,ref,error,pid_p,pid_i,pid_d,pid_pd,u,snn_p,snn_i,snn_d,snn_pd,snn_pid
422.2,0.0,0.5,0.0099999904632568,0.0899999141693111,0.0,0.0,0.0899999141693111,0.0899999141693111,0.0,0.0,0.0,0.0,0.0
422.3,0.0,0.5,0.020000010728836,0.180000096559524,0.00020000010728843387,0.7000014185905441,0.8800015151500681,0.8802015152573566,0.0,0.0,0.0,0.0,0.0
422.4,0.0,0.5,0.020000010728836,0.180000096559524,0.00040000021457681223,0.7000014185905441,0.8800015151500681,0.880401515364645,0.0,0.0,0.0,0.0,0.0
422.5,0.0,0.5,0.020000010728836,0.180000096559524,0.0006000003218651351,0.0,0.180000096559524,0.18060009688138914,0.0,0.0,0.0,0.0,0.0
422.6,0.0,0.5,0.0300000011920928,0.2700000107288351,0.0009000003337861218,0.6999993324279759,0.969999343156811,0.970899343490597,0.0,0.0,0.0,0.0,0.0
422.7,0.0,0.5,0.0300000011920928,0.2700000107288351,0.0012000003457071085,0.6999993324279759,0.969999343156811,0.9711993435025181,0.0,0.0,0.0,0.0,0.0
422.8,0.0,0.5,0.0399999916553497,0.3599999248981472,0.001600000262260537,0.6999993324279828,1.05999925732613,1.0615992575883906,0.0,0.0,0.0,0.0,0.0
422.9,0.0,0.5,0.0399999916553497,0.3599999248981472,0.002000000178814021,0.6999993324279828,1.05999925732613,1.0619992575049442,0.0,0.0,0.0,0.0,0.0
423.0,0.0,0.5,0.0399999916553497,0.3599999248981472,0.002400000095367505,0.0,0.3599999248981472,0.3623999249935147,0.0,0.0,0.0,0.0,0.0
423.1,0.0,0.5,0.0399999916553497,0.3599999248981472,0.0028000000119209334,0.0,0.3599999248981472,0.36279992491006813,0.0,0.0,0.0,0.0,0.0
423.2,0.0,0.5,0.0399999916553497,0.3599999248981472,0.0031999999284744174,0.0,0.3599999248981472,0.3631999248266216,0.0,0.0,0.0,0.0,0.0
423.3,0.0,0.5,0.0399999916553497,0.3599999248981472,0.0035999998450279014,0.0,0.3599999248981472,0.3635999247431751,0.0,0.0,0.0,0.0,0.0
423.4,0.0,0.5,0.0399999916553497,0.3599999248981472,0.00399999976158133,0.0,0.3599999248981472,0.3639999246597285,0.0,0.0,0.0,0.0,0.0
423.5,0.0,0.5,0.0500000119209289,0.4500001072883601,0.004499999880790639,0.7000014185905442,1.1500015258789043,1.154501525759695,0.0,0.0,0.0,0.0,0.0
423.6,0.0,0.5,0.0500000119209289,0.4500001072883601,0.004999999999999838,0.7000014185905442,1.1500015258789043,1.1550015258789041,0.0,0.0,0.0,0.0,0.0
