time,meas,ref,error,pid_p,pid_i,pid_d,pid_pd,u,snn_p,snn_i,snn_d,snn_pd,snn_pid
0.0,0.0,1.0,0.9600000008940696,8.640000008046625,0.009600000008940696,0.0,8.640000008046625,8.649600008055566,0.0,0.0,0.0,0.0,0.0
0.1,0.0,1.0,0.9600000008940696,8.640000008046625,0.019200000017881393,0.0,8.640000008046625,8.659200008064508,0.0,0.0,0.0,0.0,0.0
0.2,0.0,1.0,0.9600000008940696,8.640000008046625,0.02880000002682209,0.0,8.640000008046625,8.668800008073447,0.0,0.0,0.0,0.0,0.0
0.3,0.0,1.0,0.9600000008940696,8.640000008046625,0.038400000035762785,0.0,8.640000008046625,8.678400008082388,0.0,0.0,0.0,0.0,0.0
0.4,0.0,1.0,0.9600000008940696,8.640000008046625,0.04800000004470348,0.0,8.640000008046625,8.688000008091329,0.0,0.0,0.0,0.0,0.0
0.5,0.0,1.0,0.9600000008940696,8.640000008046625,0.05760000005364418,0.0,8.640000008046625,8.69760000810027,0.0,0.0,0.0,0.0,0.0
0.6,0.0,1.0,0.9600000008940696,8.640000008046625,0.06720000006258486,0.0,8.640000008046625,8.70720000810921,0.0,0.0,0.0,0.0,0.0
0.7,0.0,1.0,0.950000001117587,8.550000010058282,0.07670000007376074,-0.6999999843537807,7.850000025704501,7.926700025778262,0.0,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.9400000013411044,8.460000012069939,0.08610000008717178,-1.3999999687075615,7.060000043362377,7.1461000434495485,0.0,0.0,0.0,0.0,0.0
0.9,0.0,1.0,0.9249999988824128,8.324999989941714,0.09535000007599592,-1.7500001564621925,6.574999833479522,6.670349833555518,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.9099999964237212,8.18999996781349,0.10445000004023314,-2.1000003442168236,6.0899996235966665,6.194449623636899,0.0,0.0,0.0,0.0,0.0
1.1,0.0,1.0,0.8849999979138374,7.964999981224537,0.11330000001937152,-2.8000000678002754,5.1649999134242615,5.278299913443633,0.0,0.0,0.0,0.0,0.0
1.2,0.0,1.0,0.8599999994039536,7.739999994635582,0.12190000001341104,-3.4999997913837353,4.240000203251847,4.361900203265257,0.0,0.0,0.0,0.0,0.0
1.3,0.0,1.0,0.8350000008940697,7.515000008046627,0.13025000002235174,-3.4999997913837433,4.015000216662884,4.145250216685236,0.0,0.0,0.0,0.0,0.0
1.4,0.0,1.0,0.8100000023841858,7.290000021457672,0.1383500000461936,-3.4999997913837433,3.790000230073929,3.928350230120122,0.0,0.0,0.0,0.0,0.0
1.5,0.0,1.0,0.7850000038743019,7.065000034868717,0.1462000000849366,-3.4999997913837433,3.565000243484974,3.7112002435699107,0.0,0.0,0.0,0.0,0.0
1.6,0.0,1.0,0.760000005364418,6.840000048279762,0.1538000001385808,-3.4999997913837433,3.340000256896019,3.4938002570346,0.0,0.0,0.0,0.0,0.0
1.7,0.0,1.0,0.7500000074505806,6.750000067055225,0.1613000002130866,-2.449999749660492,4.300000317394733,4.46130031760782,0.0,0.0,0.0,0.0,0.0
1.8,0.0,1.0,0.7400000095367432,6.6600000858306885,0.16870000030845403,-1.3999997079372406,5.260000377893448,5.428700378201902,0.0,0.0,0.0,0.0,0.0
1.9,0.0,1.0,0.6899999976158142,6.209999978542328,0.17560000028461217,-4.200000688433647,2.0099992901086807,2.1855992903932933,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,0.6399999856948853,5.759999871253967,0.18200000014156104,-7.000001668930054,-1.2400017976760864,-1.0580017975345255,0.0,0.0,0.0,0.0,0.0
2.1,0.0,1.0,0.6099999994039536,5.489999994635582,0.18810000013560058,-5.599999874830246,-0.109999880194664,0.07810011994093635,0.0,0.0,0.0,0.0,0.0
2.2,0.0,1.0,0.5800000131130219,5.220000118017197,0.1939000002667308,-4.199998080730438,1.0200020372867584,1.2139020375534892,0.0,0.0,0.0,0.0,0.0
2.3,0.0,1.0,0.5450000017881393,4.905000016093254,0.19935000028461217,-4.549999833106995,0.35500018298625946,0.5543501832708717,0.0,0.0,0.0,0.0,0.0
2.4,0.0,1.0,0.5099999904632568,4.5899999141693115,0.20445000018924475,-4.900001585483551,-0.3100016713142395,-0.10555167112499486,0.0,0.0,0.0,0.0,0.0
2.5,0.0,1.0,0.4749999940395355,4.27499994635582,0.2092000001296401,-4.9000005424022675,-0.6250005960464478,-0.4158005959168074,0.0,0.0,0.0,0.0,0.0
2.6,0.0,1.0,0.4399999976158142,3.959999978542328,0.21360000010579824,-4.899999499320984,-0.939999520778656,-0.7263995206728575,0.0,0.0,0.0,0.0,0.0
2.7,0.0,1.0,0.4099999964237213,3.689999967813492,0.21770000007003545,-4.549999833106995,-0.8599998652935028,-0.6422998652234675,0.0,0.0,0.0,0.0,0.0
2.8,0.0,1.0,0.3799999952316284,3.4199999570846558,0.22150000002235176,-4.200000166893005,-0.7800002098083496,-0.5585002097859979,0.0,0.0,0.0,0.0,0.0
2.9,0.0,1.0,0.3449999988079071,3.104999989271164,0.22495000001043086,-4.549999833106995,-1.4449998438358307,-1.2200498438253997,0.0,0.0,0.0,0.0,0.0
3.0,0.0,1.0,0.3100000023841858,2.790000021457672,0.22805000003427273,-4.899999499320984,-2.1099994778633118,-1.881949477829039,0.0,0.0,0.0,0.0,0.0
3.1,0.0,1.0,0.2800000011920929,2.520000010728836,0.23085000004619363,-4.549999833106995,-2.0299998223781586,-1.799149822331965,0.0,0.0,0.0,0.0,0.0
3.2,0.0,1.0,0.25,2.25,0.23335000004619363,-4.200000166893005,-1.9500001668930054,-1.716650166846812,0.0,0.0,0.0,0.0,0.0
3.3,0.0,1.0,0.2249999940395355,2.0249999463558193,0.23559999998658898,-3.850000500679018,-1.8250005543231986,-1.5894005543366099,0.0,0.0,0.0,0.0,0.0
3.4,0.0,1.0,0.199999988079071,1.799999892711639,0.23759999986737967,-3.500000834465031,-1.700000941753392,-1.462400941886012,0.0,0.0,0.0,0.0,0.0
3.5,0.0,1.0,0.199999988079071,1.799999892711639,0.23959999974817037,-1.7500004172325154,0.049999475479123534,0.2895994752272937,0.0,0.0,0.0,0.0,0.0
3.6,0.0,1.0,0.199999988079071,1.799999892711639,0.24159999962896106,0.0,1.799999892711639,2.0415998923406002,0.0,0.0,0.0,0.0,0.0
3.7,0.0,1.0,0.1599999964237212,1.439999967813491,0.2431999995931983,-2.799999415874485,-1.3599994480609943,-1.1167994484677959,0.0,0.0,0.0,0.0,0.0
3.8,0.0,1.0,0.1200000047683715,1.0800000429153436,0.24439999964088202,-5.599998831748964,-4.519998788833621,-4.275598789192738,0.0,0.0,0.0,0.0,0.0
3.9,0.0,1.0,0.1049999892711639,0.9449999034404751,0.24544999953359367,-3.8500005006790117,-2.9050005972385367,-2.6595505977049427,0.0,0.0,0.0,0.0,0.0
4.0,0.0,1.0,0.0899999737739563,0.8099997639656067,0.24634999927133322,-2.100002169609064,-1.2900024056434574,-1.0436524063721242,0.0,0.0,0.0,0.0,0.0
4.1,0.0,1.0,0.0899999737739563,0.8099997639656067,0.24724999900907277,-1.050001084804532,-0.24000132083892534,0.007248678170147516,0.0,0.0,0.0,0.0,0.0
4.2,0.0,1.0,0.0899999737739563,0.8099997639656067,0.24814999874681232,0.0,0.8099997639656067,1.058149762712419,0.0,0.0,0.0,0.0,0.0
4.3,0.0,1.0,0.0799999833106994,0.7199998497962945,0.24894999857991934,-0.6999993324279834,0.0200005173683111,0.2689505159482304,0.0,0.0,0.0,0.0,0.0
4.4,0.0,1.0,0.0699999928474426,0.6299999356269834,0.24964999850839376,-1.399998664855959,-0.7699987292289756,-0.5203487307205819,0.0,0.0,0.0,0.0,0.0
