# meas,ref,error,kp,ki,kd,kpd, u
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.280334209786436167e-02,4.550418302731133458e-01,4.878451723709776866e-01,4.878451723709776644e+00,3.658838792782333205e-02,0.000000000000000000e+00,4.878451723709776644e+00,4.915040111637599907e+00
-1.883999331719085624e-02,4.550418302731133458e-01,4.738818235903041742e-01,4.738818235903041298e+00,7.212952469709614511e-02,-5.585339512269404949e-01,4.180284284676100803e+00,4.252413809373196685e+00
3.526378331937649047e-02,4.550418302731133458e-01,4.197780469537368830e-01,4.197780469537368830e+00,1.036128782186264141e-01,-2.164151065462691648e+00,2.033629404074677183e+00,2.137242282293303930e+00
1.083562725410387589e-01,4.550418302731133458e-01,3.466855577320746007e-01,3.466855577320746118e+00,1.296142950485320022e-01,-2.923699568866491294e+00,5.431560084542548239e-01,6.727703035027867706e-01
1.857927545598907493e-01,4.550418302731133458e-01,2.692490757132225965e-01,2.692490757132226076e+00,1.498079757270237011e-01,-3.097459280754080169e+00,-4.049685236218540929e-01,-2.551605478948304473e-01
2.582939208619562943e-01,4.550418302731133458e-01,1.967479094111570515e-01,1.967479094111570515e+00,1.645640689328604911e-01,-2.900046652082621801e+00,-9.325675579710512864e-01,-7.680034890381906010e-01
3.207313420358018363e-01,4.550418302731133458e-01,1.343104882373115094e-01,1.343104882373115094e+00,1.746373555506588460e-01,-2.497496846953821681e+00,-1.154391964580706587e+00,-9.797546090300477406e-01
3.709875068815087218e-01,4.550418302731133458e-01,8.405432339160462396e-02,8.405432339160462396e-01,1.809414298050291969e-01,-2.010246593828275419e+00,-1.169703359912229068e+00,-9.887619301071999267e-01
4.089723421883054710e-01,4.550418302731133458e-01,4.606948808480787472e-02,4.606948808480787472e-01,1.843966414113897834e-01,-1.519393412271869970e+00,-1.058698531423791334e+00,-8.743018900124014392e-01
4.358304483571400767e-01,4.550418302731133458e-01,1.921138191597326905e-02,1.921138191597326905e-01,1.858374950550877869e-01,-1.074324246753384227e+00,-8.822104275936515361e-01,-6.963729325385636937e-01
4.533411149627509240e-01,4.550418302731133458e-01,1.700715310362421739e-03,1.700715310362421739e-02,1.859650487033649713e-01,-7.004266642244338925e-01,-6.834195111208096751e-01,-4.974544624174447316e-01
4.634935267063491904e-01,4.550418302731133458e-01,-8.451696433235844630e-03,-8.451696433235844630e-02,1.853311714708722746e-01,-4.060964697439306548e-01,-4.906134340762891011e-01,-3.052822626054167987e-01
4.682094055860551718e-01,4.550418302731133458e-01,-1.316757531294182604e-02,-1.316757531294182604e-01,1.843436033224016279e-01,-1.886351551882392563e-01,-3.203109083176575167e-01,-1.359673049952558888e-01
4.691819011779704840e-01,4.550418302731133458e-01,-1.414007090485713825e-02,-1.414007090485713825e-01,1.832830980045373481e-01,-3.889982367661248830e-02,-1.803005327251838708e-01,2.982565279353477372e-03
4.678005121848411996e-01,4.550418302731133458e-01,-1.275868191172785382e-02,-1.275868191172785382e-01,1.823261968611577521e-01,5.525555972517137704e-02,-7.233125939210716115e-02,1.099949374690505910e-01
4.651353623285642835e-01,4.550418302731133458e-01,-1.009353205545093779e-02,-1.009353205545093779e-01,1.815691819569989207e-01,1.066059942510766412e-01,5.670673696567263278e-03,1.872398556535661840e-01
